align,time,coherence,firing_rate,choice
sacc,-380,12.8,52.02925083,T1
sacc,-360,0,51.2067586,T1
sacc,-360,3.2,50.28403839,T1
sacc,-360,6.4,50.14534528,T1
sacc,-360,12.8,53.26300514,T1
sacc,-340,0,50.28002339,T1
sacc,-340,3.2,50.01204547,T1
sacc,-340,6.4,52.27163821,T1
sacc,-340,12.8,53.07783358,T1
sacc,-320,0,49.408671,T1
sacc,-320,3.2,51.71566623,T1
sacc,-320,6.4,53.0425606,T1
sacc,-320,12.8,53.46735869,T1
sacc,-300,0,49.12039427,T1
sacc,-300,3.2,49.41824814,T1
sacc,-300,6.4,54.01028235,T1
sacc,-300,12.8,54.60966013,T1
sacc,-300,25.6,54.18754646,T1
sacc,-280,0,51.69715791,T1
sacc,-280,3.2,51.02073415,T1
sacc,-280,6.4,55.74110821,T1
sacc,-280,12.8,53.2776573,T1
sacc,-280,25.6,54.50643069,T1
sacc,-260,0,52.63794446,T1
sacc,-260,3.2,52.62490112,T1
sacc,-260,6.4,56.56769603,T1
sacc,-260,12.8,53.94585869,T1
sacc,-260,25.6,55.06923628,T1
sacc,-240,0,51.25496726,T1
sacc,-240,3.2,52.58651219,T1
sacc,-240,6.4,53.8916036,T1
sacc,-240,12.8,55.86655139,T1
sacc,-240,25.6,54.06600568,T1
sacc,-220,0,50.59837032,T1
sacc,-220,3.2,51.46251552,T1
sacc,-220,6.4,54.32072051,T1
sacc,-220,12.8,55.91071119,T1
sacc,-220,25.6,53.42352272,T1
sacc,-200,0,54.09698873,T1
sacc,-200,3.2,52.89023888,T1
sacc,-200,6.4,57.26588554,T1
sacc,-200,12.8,55.85134733,T1
sacc,-200,25.6,54.30218802,T1
sacc,-180,0,56.08364826,T1
sacc,-180,3.2,54.6633426,T1
sacc,-180,6.4,56.56848801,T1
sacc,-180,12.8,57.0138949,T1
sacc,-180,25.6,56.74134674,T1
sacc,-160,0,55.35057027,T1
sacc,-160,3.2,53.82723311,T1
sacc,-160,6.4,56.72402923,T1
sacc,-160,12.8,58.11931588,T1
sacc,-160,25.6,58.60218299,T1
sacc,-160,51.2,54.89679976,T1
sacc,-140,0,57.15932562,T1
sacc,-140,3.2,56.57699007,T1
sacc,-140,6.4,56.75455024,T1
sacc,-140,12.8,59.18316216,T1
sacc,-140,25.6,58.79232672,T1
sacc,-140,51.2,57.82145698,T1
sacc,-120,0,58.53308329,T1
sacc,-120,3.2,59.11915397,T1
sacc,-120,6.4,58.98154307,T1
sacc,-120,12.8,61.35578109,T1
sacc,-120,25.6,59.44191145,T1
sacc,-120,51.2,59.68956934,T1
sacc,-100,0,59.49486136,T1
sacc,-100,3.2,62.79546377,T1
sacc,-100,6.4,62.486324,T1
sacc,-100,12.8,62.69254641,T1
sacc,-100,25.6,59.47547592,T1
sacc,-100,51.2,59.12295087,T1
sacc,-80,0,62.13983344,T1
sacc,-80,3.2,63.69677791,T1
sacc,-80,6.4,63.68039491,T1
sacc,-80,12.8,63.79750626,T1
sacc,-80,25.6,60.7461235,T1
sacc,-80,51.2,61.65455776,T1
sacc,-60,0,63.99183813,T1
sacc,-60,3.2,64.08854891,T1
sacc,-60,6.4,65.92756481,T1
sacc,-60,12.8,64.45312135,T1
sacc,-60,25.6,65.07859159,T1
sacc,-60,51.2,62.75586673,T1
sacc,-40,0,65.98605578,T1
sacc,-40,3.2,66.46322541,T1
sacc,-40,6.4,67.78728606,T1
sacc,-40,12.8,67.64944879,T1
sacc,-40,25.6,67.48066959,T1
sacc,-40,51.2,66.61279275,T1
sacc,-20,0,68.37649402,T1
sacc,-20,3.2,66.81956046,T1
sacc,-20,6.4,68.27628362,T1
sacc,-20,12.8,69.83359763,T1
sacc,-20,25.6,69.27592955,T1
sacc,-20,51.2,69.25255129,T1
sacc,0,0,67.67928287,T1
sacc,0,3.2,66.44345238,T1
sacc,0,6.4,70.04889976,T1
sacc,0,12.8,68.16688702,T1
sacc,0,25.6,69.56947162,T1
sacc,0,51.2,67.87109375,T1
sacc,20,0,63.84462151,T1
sacc,20,3.2,65.0297619,T1
sacc,20,6.4,66.99266504,T1
sacc,20,12.8,62.62366014,T1
sacc,20,25.6,66.24266145,T1
sacc,20,51.2,66.45507813,T1
sacc,40,0,60.35856574,T1
sacc,40,3.2,60.19345238,T1
sacc,40,6.4,58.55745721,T1
sacc,40,12.8,59.00205761,T1
sacc,40,25.6,62.08414873,T1
sacc,40,51.2,62.93945313,T1
sacc,60,0,53.23705179,T1
sacc,60,3.2,51.26488095,T1
sacc,60,6.4,51.95599022,T1
sacc,60,12.8,52.31481481,T1
sacc,60,25.6,52.83757339,T1
sacc,60,51.2,53.61328125,T1
sacc,80,0,44.37250996,T1
sacc,80,3.2,43.75,T1
sacc,80,6.4,45.23227384,T1
sacc,80,12.8,42.0781893,T1
sacc,80,25.6,44.37377691,T1
sacc,80,51.2,44.67773438,T1
sacc,100,0,37.59960159,T1
sacc,100,3.2,38.24404762,T1
sacc,100,6.4,37.16381418,T1
sacc,100,12.8,36.11111111,T1
sacc,100,25.6,37.91585127,T1
sacc,100,51.2,37.74414063,T1
sacc,120,0,30.82669323,T1
sacc,120,3.2,29.98511905,T1
sacc,120,6.4,30.86797066,T1
sacc,120,12.8,29.62962963,T1
sacc,120,25.6,29.69667319,T1
sacc,120,51.2,31.49414063,T1
sacc,140,0,25.89641434,T1
sacc,140,3.2,23.21428571,T1
sacc,140,6.4,24.38875306,T1
sacc,140,12.8,24.6399177,T1
sacc,140,25.6,23.58121331,T1
sacc,140,51.2,25.87890625,T1
sacc,160,0,20.3685259,T1
sacc,160,3.2,20.3125,T1
sacc,160,6.4,19.37652812,T1
sacc,160,12.8,19.5473251,T1
sacc,160,25.6,18.6888454,T1
sacc,160,51.2,21.04492188,T1
sacc,180,0,14.44223108,T1
sacc,180,3.2,16.07142857,T1
sacc,180,6.4,16.56479218,T1
sacc,180,12.8,14.86625514,T1
sacc,180,25.6,14.481409,T1
sacc,180,51.2,16.89453125,T1
sacc,200,0,10.45816733,T1
sacc,200,3.2,12.78383384,T1
sacc,200,6.4,13.14180929,T1
sacc,200,12.8,12.44855967,T1
sacc,200,25.6,11.10567515,T1
sacc,200,51.2,13.33007813,T1
sacc,220,0,8.715139442,T1
sacc,220,3.2,10.68592866,T1
sacc,220,6.4,9.35207824,T1
sacc,220,12.8,10.08230453,T1
sacc,220,25.6,10.37181996,T1
sacc,220,51.2,11.47460938,T1
sacc,240,0,8.864541833,T1
sacc,240,3.2,8.308605341,T1
sacc,240,6.4,7.457212714,T1
sacc,240,12.8,8.487654321,T1
sacc,240,25.6,9.931506849,T1
sacc,240,51.2,9.47265625,T1
sacc,260,0,7.768924303,T1
sacc,260,3.2,6.899109792,T1
sacc,260,6.4,7.39608802,T1
sacc,260,12.8,7.613168724,T1
sacc,260,25.6,8.121330724,T1
sacc,260,51.2,8.251953125,T1
sacc,280,0,6.474103586,T1
sacc,280,3.2,7.34421365,T1
sacc,280,6.4,7.212713936,T1
sacc,280,12.8,6.275720165,T1
sacc,280,25.6,7.485322896,T1
sacc,280,51.2,8.056640625,T1
sacc,300,0,6.573705179,T1
sacc,300,3.2,6.676557864,T1
sacc,300,6.4,7.029339853,T1
sacc,300,12.8,6.378600823,T1
sacc,300,25.6,6.604696673,T1
sacc,300,51.2,7.666015625,T1
sacc,-600,0,44.21033071,T2
sacc,-600,3.2,43.07383516,T2
sacc,-580,0,42.09516552,T2
sacc,-580,3.2,43.07567675,T2
sacc,-560,0,42.12535135,T2
sacc,-560,3.2,45.28545274,T2
sacc,-540,0,44.17897118,T2
sacc,-540,3.2,44.47084349,T2
sacc,-520,0,43.35219614,T2
sacc,-520,3.2,41.56180161,T2
sacc,-520,6.4,44.21999542,T2
sacc,-500,0,43.18151995,T2
sacc,-500,3.2,42.85561542,T2
sacc,-500,6.4,42.462574,T2
sacc,-480,0,40.94594483,T2
sacc,-480,3.2,41.82332126,T2
sacc,-480,6.4,45.13449187,T2
sacc,-460,0,40.00930398,T2
sacc,-460,3.2,40.53717629,T2
sacc,-460,6.4,42.62594013,T2
sacc,-440,0,43.00182028,T2
sacc,-440,3.2,39.40915388,T2
sacc,-440,6.4,40.2619259,T2
sacc,-440,12.8,41.14199036,T2
sacc,-420,0,42.37664442,T2
sacc,-420,3.2,39.5781225,T2
sacc,-420,6.4,41.56100242,T2
sacc,-420,12.8,40.4096732,T2
sacc,-400,0,40.6714854,T2
sacc,-400,3.2,41.23754917,T2
sacc,-400,6.4,40.94293575,T2
sacc,-400,12.8,38.51195621,T2
sacc,-380,0,43.28764466,T2
sacc,-380,3.2,42.08590059,T2
sacc,-380,6.4,39.96895539,T2
sacc,-380,12.8,39.73337613,T2
sacc,-360,0,43.3612316,T2
sacc,-360,3.2,42.41947087,T2
sacc,-360,6.4,41.58048482,T2
sacc,-360,12.8,40.0444202,T2
sacc,-340,0,39.87622677,T2
sacc,-340,3.2,42.07886979,T2
sacc,-340,6.4,41.90287586,T2
sacc,-340,12.8,38.31200256,T2
sacc,-320,0,40.4448454,T2
sacc,-320,3.2,40.1513881,T2
sacc,-320,6.4,40.43413525,T2
sacc,-320,12.8,37.73106628,T2
sacc,-320,25.6,37.05851319,T2
sacc,-300,0,40.88718423,T2
sacc,-300,3.2,38.94070237,T2
sacc,-300,6.4,41.25804033,T2
sacc,-300,12.8,38.12434421,T2
sacc,-300,25.6,36.07380724,T2
sacc,-280,0,41.19470564,T2
sacc,-280,3.2,39.56803292,T2
sacc,-280,6.4,38.36027053,T2
sacc,-280,12.8,37.36819956,T2
sacc,-280,25.6,33.88123367,T2
sacc,-260,0,41.01363271,T2
sacc,-260,3.2,38.3195658,T2
sacc,-260,6.4,36.43978873,T2
sacc,-260,12.8,36.20321939,T2
sacc,-260,25.6,31.80592107,T2
sacc,-240,0,41.84167406,T2
sacc,-240,3.2,36.02757417,T2
sacc,-240,6.4,37.68986365,T2
sacc,-240,12.8,36.57450983,T2
sacc,-240,25.6,31.64443725,T2
sacc,-220,0,44.24957909,T2
sacc,-220,3.2,37.06950867,T2
sacc,-220,6.4,37.95635988,T2
sacc,-220,12.8,37.39194015,T2
sacc,-220,25.6,31.36367341,T2
sacc,-200,0,42.19196351,T2
sacc,-200,3.2,38.07267159,T2
sacc,-200,6.4,37.03714584,T2
sacc,-200,12.8,36.53750275,T2
sacc,-200,25.6,31.83053157,T2
sacc,-200,51.2,34.2784884,T2
sacc,-180,0,39.9167537,T2
sacc,-180,3.2,37.93088115,T2
sacc,-180,6.4,36.33902967,T2
sacc,-180,12.8,35.00618724,T2
sacc,-180,25.6,32.43503635,T2
sacc,-180,51.2,34.43355376,T2
sacc,-160,0,40.8200657,T2
sacc,-160,3.2,38.25669628,T2
sacc,-160,6.4,36.76868593,T2
sacc,-160,12.8,33.05076005,T2
sacc,-160,25.6,32.34558139,T2
sacc,-160,51.2,33.42639722,T2
sacc,-140,0,41.63607623,T2
sacc,-140,3.2,36.51231537,T2
sacc,-140,6.4,37.07290188,T2
sacc,-140,12.8,32.86156282,T2
sacc,-140,25.6,29.92544673,T2
sacc,-140,51.2,32.66958523,T2
sacc,-120,0,39.90270779,T2
sacc,-120,3.2,35.88906907,T2
sacc,-120,6.4,38.94000539,T2
sacc,-120,12.8,33.16040805,T2
sacc,-120,25.6,28.71175877,T2
sacc,-120,51.2,32.37836261,T2
sacc,-100,0,39.85457863,T2
sacc,-100,3.2,37.62534244,T2
sacc,-100,6.4,37.25923603,T2
sacc,-100,12.8,31.78570811,T2
sacc,-100,25.6,28.50927732,T2
sacc,-100,51.2,30.32146368,T2
sacc,-80,0,39.06865386,T2
sacc,-80,3.2,38.31775701,T2
sacc,-80,6.4,37.10928924,T2
sacc,-80,12.8,31.67066199,T2
sacc,-80,25.6,27.16738643,T2
sacc,-80,51.2,27.54423043,T2
sacc,-60,0,37.81785888,T2
sacc,-60,3.2,36.07562942,T2
sacc,-60,6.4,38.49607548,T2
sacc,-60,12.8,31.24210285,T2
sacc,-60,25.6,27.09947637,T2
sacc,-60,51.2,27.83715554,T2
sacc,-40,0,37.86266925,T2
sacc,-40,3.2,35.26185089,T2
sacc,-40,6.4,35.2250005,T2
sacc,-40,12.8,29.15230496,T2
sacc,-40,25.6,28.0553222,T2
sacc,-40,51.2,27.49576256,T2
sacc,-20,0,35.88007737,T2
sacc,-20,3.2,34.98452012,T2
sacc,-20,6.4,34.29410793,T2
sacc,-20,12.8,28.85726311,T2
sacc,-20,25.6,27.64705882,T2
sacc,-20,51.2,26.78837247,T2
sacc,0,0,34.91295938,T2
sacc,0,3.2,32.58513932,T2
sacc,0,6.4,32.88567845,T2
sacc,0,12.8,27.7269053,T2
sacc,0,25.6,25.34313725,T2
sacc,0,51.2,25.53294574,T2
sacc,20,0,32.9787234,T2
sacc,20,3.2,31.73374613,T2
sacc,20,6.4,30.74935401,T2
sacc,20,12.8,25.99580713,T2
sacc,20,25.6,25.04901961,T2
sacc,20,51.2,23.88565891,T2
sacc,40,0,32.83365571,T2
sacc,40,3.2,34.6749226,T2
sacc,40,6.4,31.65374677,T2
sacc,40,12.8,28.721174,T2
sacc,40,25.6,28.33333333,T2
sacc,40,51.2,28.00387597,T2
sacc,60,0,30.94777563,T2
sacc,60,3.2,34.52012384,T2
sacc,60,6.4,30.94315245,T2
sacc,60,12.8,30.92243187,T2
sacc,60,25.6,29.16666667,T2
sacc,60,51.2,29.84496124,T2
sacc,80,0,24.7098646,T2
sacc,80,3.2,27.08978328,T2
sacc,80,6.4,27.77777778,T2
sacc,80,12.8,27.67295597,T2
sacc,80,25.6,26.2254902,T2
sacc,80,51.2,27.47093023,T2
sacc,100,0,25.87040619,T2
sacc,100,3.2,26.70278638,T2
sacc,100,6.4,27.19638243,T2
sacc,100,12.8,27.46331237,T2
sacc,100,25.6,28.18627451,T2
sacc,100,51.2,29.16666667,T2
sacc,120,0,28.38491296,T2
sacc,120,3.2,30.95975232,T2
sacc,120,6.4,28.29457364,T2
sacc,120,12.8,29.45492662,T2
sacc,120,25.6,31.91176471,T2
sacc,120,51.2,32.21899225,T2
sacc,140,0,27.36943907,T2
sacc,140,3.2,29.64396285,T2
sacc,140,6.4,29.06976744,T2
sacc,140,12.8,30.24109015,T2
sacc,140,25.6,30.24509804,T2
sacc,140,51.2,32.46124031,T2
sacc,160,0,27.90135397,T2
sacc,160,3.2,30.26315789,T2
sacc,160,6.4,30.62015504,T2
sacc,160,12.8,30.13626834,T2
sacc,160,25.6,29.80392157,T2
sacc,160,51.2,33.13953488,T2
sacc,180,0,29.93230174,T2
sacc,180,3.2,32.6625387,T2
sacc,180,6.4,29.65116279,T2
sacc,180,12.8,28.98322851,T2
sacc,180,25.6,30.44117647,T2
sacc,180,51.2,32.94573643,T2
sacc,200,0,29.73887814,T2
sacc,200,3.2,29.72136223,T2
sacc,200,6.4,29.00516796,T2
sacc,200,12.8,28.4067086,T2
sacc,200,25.6,29.95098039,T2
sacc,200,51.2,31.29844961,T2
sacc,220,0,27.56286267,T2
sacc,220,3.2,29.64396285,T2
sacc,220,6.4,29.06976744,T2
sacc,220,12.8,27.14884696,T2
sacc,220,25.6,27.54901961,T2
sacc,220,51.2,30.13565891,T2
sacc,240,0,28.67504836,T2
sacc,240,3.2,29.56656347,T2
sacc,240,6.4,29.84496124,T2
sacc,240,12.8,26.99161426,T2
sacc,240,25.6,27.89215686,T2
sacc,240,51.2,30.28100775,T2
sacc,260,0,28.82011605,T2
sacc,260,3.2,26.85758514,T2
sacc,260,6.4,29.90956072,T2
sacc,260,12.8,28.14465409,T2
sacc,260,25.6,28.57843137,T2
sacc,260,51.2,31.10465116,T2
sacc,280,0,28.67504836,T2
sacc,280,3.2,30.49535604,T2
sacc,280,6.4,27.58397933,T2
sacc,280,12.8,28.5115304,T2
sacc,280,25.6,26.47058824,T2
sacc,280,51.2,30.81395349,T2
sacc,300,0,28.38491296,T2
sacc,300,3.2,33.28173375,T2
sacc,300,6.4,27.58397933,T2
sacc,300,12.8,28.5115304,T2
sacc,300,25.6,27.00980392,T2
sacc,300,51.2,30.95930233,T2
